"Body.Type","AveragePrice"
"Cruiser Bikes, Tourer Bikes",4328938.5
"Super Bikes",3669944.8
"Tourer Bikes",3456556
"Super Bikes, Sports Bikes",2886869.11111111
"Super Bikes, Sports Naked Bikes",2391393.66666667
"Adventure Tourer Bikes, Sports Tourer Bikes",2380705.5
"Sports Tourer Bikes",2274559
"Super Bikes, Sports Tourer Bikes",1445504
"Sports Naked Bikes, Cafe Racer Bikes",1254220.14285714
"Adventure Tourer Bikes",1187541.86666667
"Adventure Tourer Bikes, Off Road Bikes",1068716.5
"Cafe Racer Bikes",1014643.8
"Adventure Tourer Bikes, Sports Bikes, Off Road Bikes",987527
"Cruiser Bikes",865829.026315789
"Sports Naked Bikes",718750.266666667
"Sports Bikes",481064.901960784
"Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",264047
"Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes",248433
"Sports Naked Bikes, Sports Bikes",194770.857142857
"Cruiser Bikes, Cafe Racer Bikes",182078.666666667
"Electric Bikes",170911
"Commuter Bikes",93935.1764705882
"Moped Bikes",61669.3333333333
