"Body.Type","Mean_OnRoad_Price"
"",131749.777777778
"1023 mm",3847090.5
"1079 mm",2737422.66666667
"1080 mm",3687367
"12 L",169905
"14 L",282985.55
"16 L",4353264
"17 L",2389519.66666667
"20 L",2337583.5
"2090 mm",2198819
"22 L",2960089.25
"685 mm",96214
"710 mm",107540.333333333
"720 mm",98593
"730 mm",141481
"737 mm",94909.25
"743 mm",97903.5
"750 mm",678912.666666667
"765 mm",399109
"780 mm",381292.333333333
"785 mm",124736.666666667
"786 mm",139979
"790 mm",760470
"792 mm",1268377.2
"793 mm",153689
"803 mm",153014.5
"806 mm",150305.8
"820 mm",948983.333333333
"830 mm",2351355.75
"835 mm",474868.5
"867 mm",1634377
"890 mm",414447
"895 mm",1470829.33333333
"915 mm",1949721
"916 mm",2013270.5
"922 mm",2492400
"926 mm",1950463.66666667
"964 mm",2536977.33333333
"972 mm",3357619
"990 mm",4177620.42857143
"995 mm",1956948.33333333
"Adventure Tourer Bikes",1187541.86666667
"Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes",248433
"Adventure Tourer Bikes, Off Road Bikes",1068716.5
"Adventure Tourer Bikes, Sports Tourer Bikes",2380705.5
"Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",264047
"Cafe Racer Bikes",1014643.8
"Commuter Bikes",93935.1764705882
"Cruiser Bikes",865829.026315789
"Cruiser Bikes, Cafe Racer Bikes",182078.666666667
"Cruiser Bikes, Tourer Bikes",4328938.5
"Halogen",94927.75
"LED",1723195.51612903
"Moped Bikes",61669.3333333333
"Sports Bikes",481064.901960784
"Sports Naked Bikes",718750.266666667
"Sports Naked Bikes, Cafe Racer Bikes",1254220.14285714
"Sports Naked Bikes, Sports Bikes",194770.857142857
"Sports Tourer Bikes",2274559
"Super Bikes",3669944.8
"Super Bikes, Sports Bikes",2886869.11111111
"Super Bikes, Sports Naked Bikes",2391393.66666667
"Tourer Bikes",3456556
"Yes",1697495.98214286
