"","Var1","Freq"
"1","",18
"2","1023 mm",2
"3","1079 mm",3
"4","1080 mm",2
"5","12 L",2
"6","13.5 L",0
"7","14 L",20
"8","14.5 L",1
"9","16 L",3
"10","17 L",3
"11","20 L",2
"12","2090 mm",2
"13","210 mm",1
"14","22 L",4
"15","650 mm",1
"16","685 mm",2
"17","700 mm",1
"18","705 mm",1
"19","710 mm",3
"20","715 mm",1
"21","720 mm",2
"22","729 mm",1
"23","730 mm",2
"24","737 mm",4
"25","742 mm",1
"26","743 mm",2
"27","750 mm",3
"28","752 mm",1
"29","754 mm",1
"30","765 mm",2
"31","770 mm",1
"32","780 mm",6
"33","785 mm",3
"34","786 mm",2
"35","790 mm",2
"36","792 mm",5
"37","793 mm",3
"38","800 mm",1
"39","803 mm",2
"40","805mm",1
"41","806 mm",5
"42","810 mm",1
"43","814 mm",1
"44","815 mm",1
"45","820 mm",3
"46","830 mm",4
"47","835 mm",8
"48","848 mm",1
"49","849 - 982 mm",1
"50","850 mm",1
"51","865 mm",1
"52","867 mm",3
"53","890 mm",2
"54","895 mm",3
"55","900 mm",1
"56","915 mm",3
"57","916 mm",2
"58","922 mm",2
"59","926 mm",6
"60","940 mm",1
"61","964 mm",3
"62","970 mm",0
"63","972 mm",2
"64","990 mm",7
"65","995 mm",3
"66","Adventure Tourer Bikes",15
"67","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes",3
"68","Adventure Tourer Bikes, Off Road Bikes",16
"69","Adventure Tourer Bikes, Sports Bikes, Off Road Bikes",1
"70","Adventure Tourer Bikes, Sports Tourer Bikes",2
"71","Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",6
"72","Aliminium Monocoque Frame",0
"73","Cafe Racer Bikes",5
"74","Chain Drive",0
"75","Commuter Bikes",34
"76","Cruiser Bikes",76
"77","Cruiser Bikes, Cafe Racer Bikes",3
"78","Cruiser Bikes, Tourer Bikes",2
"79","Electric Bikes",1
"80","Halogen",4
"81","Halogenbo",1
"82","LED",31
"83","Moped Bikes",6
"84","Sports Bikes",51
"85","Sports Naked Bikes",30
"86","Sports Naked Bikes, Cafe Racer Bikes",7
"87","Sports Naked Bikes, Sports Bikes",7
"88","Sports Tourer Bikes",2
"89","Super Bikes",5
"90","Super Bikes, Sports Bikes",9
"91","Super Bikes, Sports Naked Bikes",3
"92","Super Bikes, Sports Tourer Bikes",1
"93","Telescopic fork",1
"94","Tourer Bikes",6
"95","Yes",56
